mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,18.0,540,2600
الرياض,جنوب الرياض,حي بدر,جنوب,تجاري,35.0,2400,1167
الرياض,غرب الرياض,حي المهدية,شرق,سكني,16.0,450,1445
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,,30.0,840,1011
الرياض,شمال الرياض,حي بنبان,شمال شرقي,,15.0,750,813
الرياض,شمال الرياض,حي القيروان,جنوب,,15.0,300,3150
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,20.0,900,1277
الرياض,شرق الرياض,حي الازدهار,شمال غربي,سكني,20.0,690,3600
الخبر,,حي اللؤلؤ,شرق,سكني,20.0,600,1100
الرياض,شمال الرياض,حي بنبان,شرق,,15.0,375,680
الرياض,شمال الرياض,حي المروج,غرب,سكني,15.0,510,2800
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,12.0,800,2000
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,,15.0,378,2750
الرياض,غرب الرياض,حي لبن,جنوب غربي,سكني,20.0,900,2300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,739,3900
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,60.0,900,1772
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني أو تجاري,84.0,6010,3500
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15.0,375,2600
الرياض,شمال الرياض,حي الياسمين,جنوب,سكني,20.0,465,3650
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,520,2400
الرياض,جنوب الرياض,حي عكاظ,جنوب,سكني,15.0,360,2300
الخبر,,حي العقيق,جنوب غربي,,30.0,1078,600
جدة,شمال جدة,حي النعيم,شمال شرقي,سكني,15.0,625,4800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25.0,6600,4000
الخبر,,حي الكوثر,شمال,سكني,18.0,437,915
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,36.0,12600,3600
الرياض,شمال الرياض,حي الملقا,شمال,,20.0,2224,3100
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,28.0,23900,4000
بريدة,,حي الرحاب,شرق,سكني,15.0,1000,290
الرياض,شرق الرياض,حي الرمال,شرق,سكني,15.0,496,2000
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,381,1500
الرياض,شمال الرياض,حي النفل,غرب,تجاري,30.0,1008,4000
الرياض,شرق الرياض,حي اليرموك,3 شوارع,تجاري,20.0,3600,2750
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20.0,10000,2600
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,15.0,12050,3500
الرياض,شمال الرياض,حي الورود,3 شوارع,سكني,20.0,896,3906
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28.0,1930,4200
الرياض,شمال الرياض,حي الغدير,3 شوارع,سكني,15.0,2400,4200
الرياض,شرق الرياض,حي النهضة,غرب,سكني,15.0,388,2400
الرياض,شمال الرياض,حي المروج,3 شوارع,سكني,20.0,1625,3100
الرياض,غرب الرياض,حي المهدية,غرب,سكني,15.0,525,1142
الرياض,غرب الرياض,حي المهدية,شمال شرقي,سكني,15.0,671,1100
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,800,3800
جدة,شمال جدة,حي اللؤلؤ,شمال شرقي,سكني,16.0,400,2125
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,20.0,900,3300
الرياض,غرب الرياض,حي نمار,شمال,تجاري,100.0,1513,3500
الرياض,شرق الرياض,حي الاندلس,شرق,سكني,15.0,506,2350
جدة,شمال جدة,حي الزمرد,غرب,سكني,16.0,625,1600
الدلم,,حي سدير,شرق,تجاري,20.0,600,400
الرياض,شمال الرياض,حي بنبان,شرق,,15.0,750,600
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,30.0,1139,1650
الرياض,شرق الرياض,حي الريان,شرق,,15.0,775,3000
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,690,3000
الرياض,غرب الرياض,حي المهدية,شمال شرقي,,15.0,450,1560
الرياض,جنوب الرياض,حي الشفا,3 شوارع,سكني,15.0,718,1350
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,30.0,728,2600
الرياض,جنوب الرياض,حي السلي,3 شوارع,تجاري,60.0,8196,1100
الرياض,شمال الرياض,حي العارض,3 شوارع,,60.0,3240,3600
جدة,شمال جدة,حي اللؤلؤ,شرق,سكني,15.0,400,2000
الرياض,شمال الرياض,حي النفل,غرب,سكني,15.0,375,3000
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,900,2800
الرياض,شمال الرياض,حي بنبان,شمال,سكني,25.0,750,733
الدمام,,حي احد,شرق,سكني,15.0,1560,1153
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,20.0,300,1200
مكة المكرمة,,حي التنعيم,جنوب,سكني,15.0,880,852
الرياض,شرق الرياض,حي الاندلس,شرق,سكني,15.0,506,2200
الخبر,,حي التحلية,شمال,سكني,40.0,1950,1200
الخبر,,حي التحلية,4 شوارع,سكني,20.0,14250,1450
رابغ,,حي الصليب الغربي,غرب,سكني,15.0,700,285
تاروت,,حي الاندلس,جنوب,تجاري,5.0,900,2000
الرياض,شرق الرياض,حي الشرق,غرب,سكني,15.0,405,1750
الدرعية,,حي الدرعية الجديدة,شمال,سكني,25.0,622,1000
جدة,شمال جدة,حي الرياض,شمال غربي,سكني,25.0,616,838
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني,15.0,6900,2420
الرياض,شمال الرياض,حي السليمانية,غرب,سكني,15.0,612,3000
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,18.0,750,4200
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15.0,225,3900
الرياض,شمال الرياض,حي المغرزات,شمال,سكني,30.0,1125,2970
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,15.0,288,2700
الرياض,غرب الرياض,حي الهدا,شرق,سكني,20.0,1085,2765
الرياض,شمال الرياض,حي بنبان,شمال,سكني,20.0,750,706
الرياض,شمال الرياض,حي بنبان,شرق,,20.0,840,571
الرياض,شرق الرياض,حي النهضة,3 شوارع,تجاري,30.0,4900,2500
الرياض,شمال الرياض,حي الملقا,غرب,سكني,18.0,820,3800
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,15.0,1225,3000
الخبر,,حي الصواري,شمال شرقي,سكني,15.0,551,1250
الرياض,غرب الرياض,حي لبن,جنوب شرقي,سكني,20.0,900,2600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,450,2800
الرياض,شرق الرياض,حي قرطبة,4 شوارع,سكني,20.0,3720,2700
الرياض,شمال الرياض,حي الملقا,شمال شرقي,,20.0,830,4800
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15.0,405,3500
الرياض,شمال الرياض,حي حطين,شرق,سكني,28.0,700,4000
الرياض,غرب الرياض,حي المهدية,شمال شرقي,سكني,25.0,450,1555
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,25.0,3139,4100
مكة المكرمة,,حي البحيرات,شمال,سكني,15.0,715,1940
الرياض,شرق الرياض,حي غرناطة,جنوب غربي,سكني,36.0,1200,3200
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25.0,1600,4600
الرياض,شرق الرياض,حي اليرموك,3 شوارع,سكني أو تجاري,30.0,4000,2500
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15.0,300,2700
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,25.0,750,773
الرياض,شمال الرياض,حي الندى,3 شوارع,سكني,15.0,81120,3250
الرياض,شرق الرياض,حي الشرق,جنوب,سكني,15.0,770,209
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,30.0,900,3700
الخبر,,حي الكوثر,جنوب شرقي,تجاري,60.0,770,1558
الرياض,شمال الرياض,حي الفلاح,جنوب,سكني,20.0,832,3700
الخبر,,حي الكوثر,جنوب,سكني,20.0,437,869
الرياض,شرق الرياض,حي اليرموك,شمال,تجاري,36.0,1155,2500
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,594,4100
الرياض,شمال الرياض,حي الملقا,شمال,,25.0,875,4500
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,18.0,900,3300
الخبر,,حي اللؤلؤ,غرب,,20.0,660,1060
الرياض,شرق الرياض,حي اليرموك,غرب,تجاري,30.0,750,2250
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,769,4500
الرياض,شرق الرياض,حي الازدهار,شرق,سكني,20.0,720,3200
الرياض,غرب الرياض,حي المهدية,شمال غربي,سكني,20.0,900,1333
الرياض,جنوب الرياض,حي عريض,غرب,تجاري,30.0,604,463
الرياض,شرق الرياض,حي القادسية,شرق,تجاري,30.0,900,1650
المجمعة,,حي الملك عبدالله,شرق,سكني,15.0,870,396
الرياض,شرق الرياض,حي الملك فيصل,جنوب غربي,تجاري,30.0,1050,2500
الرياض,شمال الرياض,حي العقيق,غرب,سكني,30.0,1600,4200
الرياض,شرق الرياض,حي الرمال,جنوب شرقي,تجاري,35.0,900,1450
الخبر,,حي الرجاء,غرب,سكني,20.0,437,915
الرياض,شمال الرياض,حي الصحافة,شمال غربي,سكني,15.0,1800,3000
الرياض,شرق الرياض,حي قرطبة,4 شوارع,تجاري,60.0,10510,3200
الرياض,شرق الرياض,حي المونسية,4 شوارع,سكني أو تجاري,60.0,48606,1000
الخبر,,حي التحلية,3 شوارع,سكني,20.0,971,1200
الرياض,شمال الرياض,حي العقيق,جنوب غربي,سكني أو تجاري,30.0,500,4200
الدمام,,حي المنار,شمال,سكني أو تجاري,30.0,1051,1250
الرياض,شمال الرياض,حي العارض,شمال غربي,سكني,20.0,650,2350
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,20.0,450,1444
المزاحمية,,حي شخيب,جنوب,سكني,15.0,3850,90
الرياض,شمال الرياض,حي الملقا,4 شوارع,,30.0,24600,4500
الرياض,شمال الرياض,حي القيروان,شمال,سكني,20.0,281,3000
جدة,شمال جدة,حي الشراع,غرب,سكني,16.0,414,2415
الخبر,,حي الحمرا,شمال,سكني,40.0,875,2000
جدة,شمال جدة,حي الياقوت,غرب,سكني,12.0,250,2000
الرياض,شمال الرياض,حي العارض,3 شوارع,تجاري,60.0,3257,3400
حائل,,حي النقرة,شمال غربي,تجاري,40.0,2400,1041
المدينة المنورة,,حي العيون,جنوب شرقي,سكني أو تجاري,40.0,4890,1250
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15.0,375,693
الزلفي,,حي حطين,شمال شرقي,سكني,30.0,625,160
الرياض,شمال الرياض,حي القيروان,3 شوارع,تجاري,80.0,6162,8500
جدة,شمال جدة,حي الياقوت,شمال شرقي,سكني,30.0,625,2000
الطائف,,حي جبرة,شمال شرقي,تجاري,40.0,640,2500
الخبر,,حي المرجان,جنوب,سكني,30.0,1631,398
الرياض,غرب الرياض,حي عرقة,شرق,سكني,20.0,288,3500
الرياض,شمال الرياض,حي بنبان,شرق,سكني,15.0,630,428
الرياض,شمال الرياض,حي حطين,شمال,سكني,15.0,750,4000
الرياض,شمال الرياض,حي الملك فهد,3 شوارع,,20.0,3900,3450
الرياض,شمال الرياض,حي المروج,شمال,تجاري,30.0,575,4700
الرياض,شمال الرياض,حي بنبان,شمال غربي,سكني,20.0,1500,700
الرياض,غرب الرياض,حي عرقة,شمال,سكني,25.0,525,2900
الرياض,غرب الرياض,حي لبن,غرب,سكني,20.0,900,2800
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,660,530
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,780,4500
الرياض,شمال الرياض,حي الياسمين,3 شوارع,سكني,15.0,1350,3650
الخبر,,حي المرجان,غرب,سكني,20.0,905,552
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,تجاري,100.0,6008,3500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,17.0,446,4000
الرياض,شمال الرياض,حي الملقا,جنوب,,15.0,446,4300
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,620,1500
الرياض,شمال الرياض,حي القيروان,شمال غربي,سكني,20.0,5419,900
الرياض,شمال الرياض,حي الملقا,3 شوارع,تجاري,60.0,2136,10000
الرياض,شرق الرياض,حي الازدهار,شمال غربي,سكني,20.0,690,3650
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15.0,350,3100
الرياض,غرب الرياض,حي عرقة,جنوب غربي,سكني,20.0,1650,3800
الدرعية,,حي الخالدية,جنوب,سكني,20.0,660,3400
الرياض,شمال الرياض,حي الياسمين,4 شوارع,,15.0,7500,1174
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,1050,2900
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15.0,538,3300
الرياض,جنوب الرياض,حي عريض,شمال شرقي,تجاري,40.0,1050,714
الرياض,شمال الرياض,حي الوادي,شرق,سكني,15.0,300,3400
الرياض,شمال الرياض,حي حطين,غرب,سكني,15.0,960,4000
الرياض,جنوب الرياض,حي عريض,شرق,سكني,15.0,432,694
